CHAL00035_0101,0.435,9.90,11.37,21.2697631315615,0.0001,0.0005
GENO00012_0101,0.428,5.88,16.44,2.02777122347813,0.0000,0.0013
JRAS01610_0289,0.434,18.77,12.63,1.57850693148234,0.0001,0.0020
JRAS02194_0101,0.445,13.88,12.09,3.65802082475255,0.0002,0.0008
JRAS02496_0195,0.437,12.44,15.14,6.56165577830303,0.0001,0.0002
JRAS06512_0189,0.434,13.84,21.94,7.34099536818416,0.0001,0.0016
JRAS02288_0189,0.432,13.19,12.59,-1.29946150468502,0.0001,0.0009
JRAS03063_0195,0.451,16.29,14.72,17.8727646981836,0.0002,0.0007
JRAS05886_0171,0.446,26.38,22.36,7.62290239043186,0.0002,0.0016
JRAS05982_0189,0.437,12.24,13.02,2.35200387302272,0.0001,0.0020
JRAS08247_0189,0.428,6.45,18.55,-10.8613597961278,0.0000,0.0007
JRAS03042_0189,0.41,18.82,22.41,-7.97454285525102,0.0002,0.0002
JRAS02292_0195,0.444,25.54,23.86,18.2967451921903,0.0002,0.0000
JRAS03513_0199,0.438,21.50,15.45,13.5886513969742,0.0001,0.0012
JRAS01173_0189,0.478,26.99,53.75,25.6199204371538,0.0005,0.0064
JRAS02460_0195,0.454,15.86,18.00,21.1033279611965,0.0003,0.0001
JRAS05337_0189,0.442,9.10,31.33,21.7850519577252,0.0002,0.0017
JRAS07337_0189,0.454,23.22,21.66,35.1932023591502,0.0003,0.0005
JRAS06685_0189,0.422,7.70,54.11,36.0935380256595,0.0000,0.0004
JRAS02495_0195,0.483,12.94,47.08,40.0034892898005,0.0005,0.0018
JRAS02778_0195,0.434,11.47,28.89,-0.396238913628966,0.0001,0.0038
JRAS06043_0189,0.442,12.57,6.05,-3.37253152912387,0.0002,0.0007
JRAS01570_1101,0.436,15.16,19.47,26.8319523095666,0.0001,0.0003
JRAS02514_0189,0.433,12.52,20.43,30.3934761024157,0.0001,0.0021
JRAS02540_0195,0.451,13.34,11.72,9.01288322376581,0.0002,0.0008
JRAS02485_0195,0.431,11.58,7.56,-0.925037293737041,0.0001,0.0003
JRAS02197_0189,0.453,9.72,41.99,18.4657611373495,0.0003,0.0006
JRAS02318_0195,0.454,25.29,21.58,22.571386608409,0.0003,0.0003
JRAS02488_0195,0.445,14.90,23.93,26.0538296255718,0.0002,0.0006
JRAS06421_0199,0.435,9.48,20.15,0.60150067489233,0.0001,0.0017
JRAS00608_0189,0.469,6.98,89.59,8.595199461204,0.0004,0.0090
JRAS01311_0195,0.44,14.56,12.13,16.3939624836272,0.0001,0.0002
JRAS01920_0195,0.456,13.73,62.94,45.8506688693005,0.0003,0.0072
JRAS02048_0189,0.43,12.53,22.48,16.8347317885091,0.0000,0.0022
JRAS03501_0199,0.45,14.40,15.81,20.8459145730157,0.0002,0.0018
JRAS08286_0189,0.431,14.02,18.48,28.6357545422785,0.0001,0.0015
JRAS02217_0189,0.421,11.84,16.53,16.9249306040529,0.0000,0.0013
JRAS01322_0195,0.45,21.60,25.92,36.3862759101546,0.0002,0.0009
JRAS03050_0189,0.432,14.76,28.10,18.2131610806631,0.0001,0.0004
JRAS08284_0189,0.433,12.81,18.86,34.0791329479334,0.0001,0.0001
JRAS08495_0189,0.464,17.73,30.25,46.6118714847718,0.0004,0.0005
JRAS08503_0189,0.448,10.59,12.80,6.38551578725466,0.0002,0.0011
JRAS03548_0189,0.413,6.62,23.85,10.7228252823322,0.0001,0.0020
JRAS01376_0189,0.446,16.78,10.65,6.71033595592632,0.0002,0.0001
JRAS03014_4489,0.43,8.68,21.90,7.63864111668382,0.0000,0.0011
JRAS01904_0189,0.432,10.91,10.83,3.49954698630983,0.0001,0.0009
JRAS03572_0199,0.43,9.86,11.39,3.75624727608002,0.0000,0.0017
JRAS05439_0189,0.486,3.80,78.08,4.95778482249223,0.0006,0.0077
JRAS01905_0189,0.423,9.50,16.97,-0.538453575328868,0.0000,0.0016
JRAS04756_0199,0.444,16.61,8.51,-0.662350284387359,0.0002,0.0006
JRAS01665_0195,0.421,24.35,45.37,4.99426047441225,0.0000,0.0051
JRAS02533_0195,0.427,9.40,9.18,0.303945323215626,0.0000,0.0015
JRAS01625_0195,0.438,10.17,5.84,-19.4338486713768,0.0001,0.0012
JRAS01647_0195,0.431,9.56,10.29,-3.70969501262521,0.0000,0.0018
JRAS01675_0195,0.431,16.89,19.46,-3.46453731299784,0.0000,0.0006
JRAS02395_0189,0.428,7.67,13.42,-5.15997060162254,0.0000,0.0001
JRAS02407_0189,0.423,9.39,12.51,-5.07272981803017,0.0000,0.0000
JRAS05417_0189,0.427,8.21,11.59,-5.92495809625443,0.0000,0.0004
JRAS00142_0195,0.408,37.42,25.01,-13.280012393714,0.0002,0.0059
JRAS03030_0195,0.416,7.20,5.44,-16.8573683074141,0.0001,0.0010
